
lib_STM32F1_io                  Converted, working perfectly
lib_STM32F1_crc                 Converted and working (while almost useless)
system_clock                    Converted


lib_class_STM32F1_uart          Converted, not tested
lib_STM32F1_dma                 Converted, not tested
lib_STM32F1_isr                 Converted, not tested
lib_class_STM32F1_tim           Converted, not tested           // no support yet for timer 9 to 17
lib_class_STM32F1_pwm           Converted, not tested
lib_class_STM32F1_rtc           Converted, prescaler not set, date and time don't exist and not tested
lib_class_STM32F1_i2c           Same driver, not tested

lib_class_STM32F1_adc           TODO
lib_class_STM32F1_can           TODO
lib_class_STM32F1_i2s           TODO
lib_class_STM32F1_spi           TODO
lib_class_STM32F1_usb           TODO
lib_class_STM32F1_io_port       TODO
